run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 232 46332 0.0591572 0.410282 0.286379 0.194611
1 232 46395 0.305918 0.190564 0.425118 0.0921384
1 127 25321 0.251078 0.167006 0.255334 0.445272
1 184 36654 0.181577 0.402888 0.219318 0.151883
1 131 26145 0.378323 0.174742 0.18076 0.178053
1 198 39457 0.412692 0.43749 0.183168 0.15096
1 57 11369 0.157757 0.245482 0.420452 -10
1 142 28223 0.198651 0.167845 0.329469 0.327862
1 71 14103 0.410546 -10 0.288354 0.168887
1 151 30120 0.219079 0.199069 0.242218 0.337532
1 179 35779 0.345186 0.245237 0.284145 0.388182
1 236 47021 0.432976 0.182301 0.419771 0.195279
1 128 25545 0.317526 0.04591 0.368423 0.266548
1 137 27343 0.331111 0.229995 0.391373 0.413237
