run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 3154 10513526 450.439 133.319 -285.076 -230.259
1 2410 8032542 412.171 112.101 -260.16 -194.804
1 10271 34234946 -369.403 -191.66 329.054 221.583
1 2414 8046580 -294.334 -121.178 197.948 139.586
1 3158 10524455 -176.623 -155.886 319.756 40.3125
1 3159 10529796 -190.285 -14.2124 238.959 100.056
1 6276 20918009 -369.606 -75.3662 232.963 57.8618
1 6276 20918688 262.298 119.325 -231.584 -53.4932
1 8919 29728590 338.987 15.973 -259.5 -12.2545
1 3169 10562667 282.022 113.294 -280.538 -90.9967
1 9189 30627116 -30.2171 4.35286 -12.0958 42.9953
1 6174 20578119 69.2681 120.657 -84.8169 -81.1287
1 6174 20578560 192.803 25.2235 -52.4887 -156.154
1 11613 38707865 129.322 53.7415 -125.982 -62.9086
1 7845 26149021 -345.26 -194.461 104.049 127.553
1 9353 31175286 -235.24 -175.529 373.748 40.4607
1 17727 59090756 138.993 180.291 -203.586 -48.447
1 11630 38764756 196.329 -8.83023 -196.774 -59.7857
1 14470 48230500 443.298 38.99 -245.541 -136.615
1 17168 57226854 244.386 127.461 -348.201 -41.887
1 18934 63112469 160.291 100.878 -131.756 -85.8094
1 18794 62644530 -1.64636 -21.5348 -100.477 24.2467
1 21474 71578769 113.658 81.7142 -57.5333 7.22585
1 3252 10838590 -341.384 -159.688 363.847 107.092
1 7575 25250739 -301.033 -51.4916 357.335 69.1644
1 4488 14958372 -334.352 -63.6933 223.028 149.322
1 3925 13084698 -530.826 -106.726 359.122 27.0829
1 4994 16644378 369.11 118.269 -354.16 -129.385
1 4206 14018944 154.651 61.5064 -121.146 -45.7195
1 4932 16440509 94.4688 85.0034 -63.1601 -66.8498
1 5020 16731846 -429.14 -65.1634 270.452 136.253
1 5146 17152187 -504.764 -90.0854 300.353 82.406
1 9159 30529452 259.122 50.2859 -250.555 -50.8668
1 327 1089487 290.814 102.432 -311.738 -69.0034
1 16556 55186257 451.026 62.9254 -311.953 -80.8519
1 16556 55188084 -650.22 -103.269 430.687 92.2075
1 764 2546567 -415.055 -236.061 531.836 75.7388
1 1249 4164347 331.494 91.6914 -261.611 -116.103
1 8458 28193507 -228.793 -48.7393 339.834 13.3411
1 3849 12829245 289.789 115.995 -276.973 -126.205
1 4387 14622448 -123.652 -2.72454 -126.051 27.1283
1 3804 12680323 326.043 105.803 -259.281 -168.146
1 3291 10969271 551.696 72.7931 -404.25 -59.1652
1 3842 12804643 -271.345 -108.479 229.339 84.2205
1 3842 12805512 634.083 84.6955 -378.938 -104.304
1 4136 13785892 432.497 66.8356 -354.544 -114.817
1 1855 6182880 5.98992 42.4527 -10.1589 19.1564
1 1855 6184339 358.258 69.5106 -353.929 -60.7277
1 6253 20842403 -458.545 -127.431 328.28 211.606
1 6889 22962953 -336.372 -53.9288 213.869 73.6052
1 12547 41821270 -364.077 -161.889 337.093 170.471
1 21208 70693827 412.016 162.118 -469.949 -66.6171
1 21971 73236407 296.646 242.12 -382.431 -125.859
1 22493 74977533 -516.181 -57.5109 335.665 120.394
1 3639 12129052 97.2619 19.7855 -20.8681 -47.6421
1 9610 32032875 350.187 111.526 -447.959 -36.2271
1 10637 35456555 -508.927 -111.791 417.027 134.034
1 19606 65353172 340.152 27.4319 -262.015 -120.942
1 1466 4887935 306.2 107.296 -398.252 -54.5117
1 2764 9210633 -282.836 -74.8127 219.819 94.0418
1 17589 58628325 254.859 131.257 -342.024 -50.3973
1 17597 58656644 16.5252 -47.8502 50.2802 -40.2324
1 20058 66858531 -128.327 -71.0901 141.317 1.33521
1 22262 74203971 1.48414 -9.37906 -48.6493 17.8549
1 2691 8968986 77.4084 29.918 -57.8192 16.0093
1 2291 7635951 -301.615 -162.855 375.142 40.0405
1 11518 38392481 1.29433 101.917 -74.7038 -6.44675
1 2294 7646562 -582.316 -67.2174 532.272 58.5579
1 3497 11655296 -22.7889 -73.5472 15.0629 21.089
1 2641 8801144 -401.187 -167.97 516.442 76.2464
1 5889 19629944 152.019 64.0693 -135.624 -22.8221
1 7408 24692709 -519.996 -140.346 396.52 92.7117
1 7408 24694104 -332.887 -206.37 185.064 244.303
1 11289 37627305 -43.2973 49.8846 -22.8933 -14.6461
1 11300 37666205 -80.6771 -77.3101 69.7754 57.077
1 16580 55267229 178.456 110.849 -157.288 -128.031
1 3863 12874843 236.622 159.042 -280.258 -54.7811
1 2183 7275264 370.733 25.3085 -290.576 -92.3066
1 3052 10173141 388.811 42.2914 -389.457 -59.5497
1 3052 10173299 -365.017 -239.162 263.094 123.281
1 5351 17834335 223.767 129.471 15.7586 18.8802
1 4129 13761801 420.777 120.456 -273.457 -224.213
1 4236 14117066 224.468 82.3216 -207.043 -2.10518
1 10935 36447906 157.412 179.005 -179.468 -86.9034
1 17896 59651752 -176.593 -9.28074 50.685 -21.3532
1 8833 29441192 207.343 24.3052 12.044 -39.9984
1 9921 33069044 -386.044 -120.795 328.654 69.8183
1 16544 55144651 406.891 179.515 -370.811 -146.556
1 20522 68404313 -242.808 -255.111 414.228 40.5526
1 3781 12601659 -36.4662 11.5444 -79.705 -20.8212
1 6256 20851217 215.137 278.744 -298.902 -147.907
1 7803 26008564 273.702 14.3904 -227.992 -55.5984
1 6372 21239902 -224.014 -12.4045 248.49 94.6841
1 9612 32039920 400.604 94.4183 -280.809 -155.947
1 11870 39566445 -322.145 -78.9702 299.55 78.7376
1 14439 48129270 202.333 54.5914 -159.498 13.8941
1 14439 48129945 -57.8379 33.3983 -43.1121 35.6454
1 16987 56623445 -510.522 -74.957 461.466 96.7819
1 21973 73240754 -308.763 -5.17668 235.143 39.0321
1 21973 73241678 -241.472 -179.118 291.993 55.9216
1 22414 74710891 428.375 101.09 -437.956 -27.7634
1 15001 50002351 100.443 40.1765 72.7718 50.6465
1 15034 50113283 -325.513 -186.96 245.312 64.3737
1 22392 74639053 390.618 254.19 -537.649 -92.3662
1 15032 50104826 -353.599 -54.359 226.687 183.344
1 15720 52398409 -98.7033 24.1194 35.8801 7.17391
1 15045 50150413 518.469 49.1663 -255.268 -203.528
1 16483 54941647 437.883 134.241 -322.458 -66.9719
