run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 3827 10900660 763.788 218.928 -663.067 -105.559
1 9071 25841498 -436.563 -108.751 -91.0645 -0.859442
1 6507 18537588 847.03 81.6782 -537.212 -294.868
1 6736 19188957 -12.7093 -2.97525 251.486 63.1577
1 10113 28809127 862.313 183.963 -714.292 -99.1017
1 1215 3459232 243.1 112.18 -246.338 -74.2029
1 1215 3459480 1072.35 343.393 -760.522 -477
1 1215 3459813 -589.435 -343.087 564.071 68.4156
1 3337 9505413 309.316 285.22 -463.783 -258.904
1 6929 19737827 734.559 140.044 -628.179 -97.8112
1 7924 22574891 -183.222 -182.435 452.176 187.012
1 2399 6832262 -521.414 -194.726 90.8175 -30.16
1 6038 17199828 -375.301 -195.832 85.6883 101.46
1 4437 12639825 205.395 29.8727 -37.804 2.89528
1 4854 13826328 -99.1578 -64.7886 286.423 11.7888
1 5741 16355436 -264.599 -148.966 372.244 66.474
1 5818 16574076 308.285 47.9325 119.164 -12.3666
1 5857 16685637 -335.485 -31.614 -273.026 -0.370207
1 6909 19680679 -232.246 -10.6479 88.4151 47.2169
1 8124 23142113 -629.86 -98.3699 264.757 268.987
1 3190 9088115 446.09 204.128 -369.597 -150.98
1 2918 8312104 642.729 130.252 -489.381 -87.8176
1 3383 9637185 -654.969 -172.001 572.812 88.0093
1 3388 9651145 239.691 181.349 -263.306 -147.225
1 3388 9652277 22.2969 -30.7724 -48.0993 2.34609
1 3983 11346513 -438.12 -177.443 242.098 17.2802
1 5001 14245177 363.073 160.969 -272.087 -163.28
1 343 974691 -911.457 -224.645 572.663 402.225
1 723 2057379 -39.7066 28.4524 -35.0327 38.4209
1 1209 3442334 565.901 189.927 -630.407 -68.5364
1 3127 8907208 -436.52 -173.068 59.8256 101.552
1 1411 4019777 666.275 517.055 -669.981 -387.317
1 2084 5935672 468.231 159.703 -451.272 -190.837
1 4192 11941074 461.885 180.56 11.8066 39.7118
1 9540 27178664 -429.719 -13.4446 184.154 35.282
1 1896 5401036 358.4 330.022 -405.404 -115.667
1 2080 5925250 -762.305 -157.026 636.169 157.433
1 2085 5939944 521.497 273.299 -409.706 -84.8921
1 3717 10588990 1844.69 423.128 -919.27 -938.215
1 3159 8997465 -866.771 -197.421 611.19 281.319
1 1894 5395081 -891.838 -96.894 703.219 127.772
1 1900 5410321 -465.385 -329.654 569.326 140.46
1 1900 5410759 -469.297 -122.761 600.433 64.7594
1 2995 8531420 481.061 103.437 -440.141 -77.9262
1 2996 8535046 526.493 267.588 -455.616 -92.8983
1 3104 8840403 110.069 -16.036 -38.2473 19.2211
1 3103 8840224 -232.158 -43.1772 -142.961 6.91531
1 3435 9785329 119.139 76.2556 165.391 83.9588
1 8229 23441594 851.865 495.265 -1169.63 -188.352
1 7718 21986831 598.014 455.208 -617.651 -75.1582
1 10140 28886616 -778.03 -277.455 503.309 278.963
1 183 520883 -1006.97 -172.918 1039.57 206.438
1 277 786507 741.017 408.684 -853.73 -241.542
1 1603 4564871 215.048 46.4864 -287.919 -96.772
1 324 922999 200.875 119.439 -252.746 -55.0389
1 881 2508189 -207.534 -74.2139 -196.731 -91.4523
1 782 2226987 870.144 215.924 -788.093 -200.251
1 1281 3647606 1.1091 26.2397 -38.8199 30.2571
1 1169 3328338 870.525 113.028 -690.374 -71.3527
1 1944 5536621 -133.04 -11.4362 422.891 102.663
1 2260 6437888 -713.415 -283.162 819.173 101.486
1 4420 12591361 -726.481 -85.971 423.334 40.0046
1 4511 12849842 806.799 282.771 -466.786 -445.497
1 5147 14663467 -98.7722 -132.15 187.612 37.5491
1 5506 15686133 285.099 233.899 -532.863 -69.9748
1 9060 25809927 -878.79 -378.59 952.653 217.469
1 9867 28108623 428.023 161.644 -227.362 -260.105
1 3764 10721489 315.461 130.1 -362.779 -61.491
1 5644 16079276 -586.798 -198.521 570.645 108.337
1 5526 15741817 58.5206 -40.0631 -28.2009 -29.0153
1 7512 21398840 543.619 99.6944 -354.85 -278.259
1 8301 23646831 -692.209 -178.734 484.207 366.305
1 7502 21372378 498.14 126.869 -317.288 -73.6517
1 910 2591267 -83.0534 -13.2384 174.937 92.2032
1 905 2577238 -644.31 -79.5921 417.967 91.7371
1 1149 3271094 -328.275 -174.621 198.51 9.76377
1 1149 3272052 151.719 8.89539 -76.5491 -107.512
1 1068 3041251 571.842 460.455 -732.042 -202.686
1 2008 5718965 254.525 300.656 -228.767 -49.7871
1 2492 7099161 781.615 82.9581 -802.127 -65.862
1 6241 17780070 -282.062 -157.671 309.28 131.949
1 5138 14635824 -1020.29 -265.875 681.601 187.622
1 1394 3970178 316.857 68.6678 38.3006 -67.3033
1 2148 6117834 977.884 295.743 -934.984 -128.584
1 9555 27220571 530.853 366.806 -442.268 -66.1453
1 9931 28292735 1000.34 335.064 -1087.42 -196.486
1 156 443028 -471.437 -328.493 723.019 76.1886
1 750 2135923 572.271 512.047 -711.448 -164.284
1 1774 5052989 -447.034 -428.907 745.584 72.8998
1 3013 8581868 676.604 332.321 -590.135 -141.55
1 3780 10767720 -829.679 -217.002 778.92 148.567
1 6609 18828377 165.316 46.1636 -247.26 -55.7484
1 7428 21160299 -789.402 -135.65 531.411 109.573
1 6405 18245480 206.589 16.1377 -189.27 13.9253
1 6697 19077985 -369.962 -75.0925 308.03 199.102
1 6036 17194964 -710.835 -291.001 690.835 323.9
1 831 2366827 760.909 159.515 -268.785 -91.1914
1 1226 3491228 -433.264 -453.897 786.962 81.5986
1 1226 3491261 768.95 152.563 -327.201 -185.373
1 1597 4547910 588.12 109.272 -483.126 -208.189
1 6099 17374967 -396.259 -100.679 286.726 147.404
1 2066 5883918 -425.856 -90.5535 702.247 79.9601
1 3220 9171043 -655.805 -606.771 1021.54 127.854
1 3220 9172083 -483.19 -105.092 273.938 78.2247
1 5802 16528899 897.342 495.515 -926.128 -455.01
1 4358 12414125 -165.149 -10.9801 471.008 102.746
1 5758 16403548 -412.709 -69.2639 67.4864 -8.48029
1 4616 13149386 515.279 242.183 -485.804 -93.461
1 5775 16450728 -579.524 -174.091 430.09 252.054
1 6086 17336352 -547.219 -275.695 411.761 76.7474
1 6152 17524444 -65.7651 14.308 202.758 49.0633
1 3513 10008156 794.189 174.663 -566.128 -370.097
1 7742 22055318 -377.494 -38.6011 75.2501 0.522566
1 3391 9658817 -774.318 -258.137 369.755 127.703
1 6361 18120873 839.891 287.541 -862.018 -268.227
1 7288 20761181 -667.336 -111.793 480.356 35.6487
1 8791 25042153 35.7671 -26.988 -49.0418 -15.3205
1 8791 25043727 -783.226 -103.648 640.647 98.5966
1 8836 25170780 440.591 176.295 -530.015 -78.3968
1 8915 25398092 805.039 139.635 -743.431 -203.28
1 8918 25404221 -524.478 -415.483 332.841 35.3071
1 8939 25466012 -569.898 -393.631 441.588 393.495
1 8939 25466517 -550.963 -201.78 661.575 95.496
1 9104 25936196 -765.579 -129.493 481.731 88.9167
1 7963 22686117 -136.657 -87.0357 62.0224 72.28
1 9962 28380928 588.521 70.1308 -509.912 -72.3378
1 10039 28598319 422.527 54.872 -275.991 -110.653
1 10045 28615726 -539.741 -92.4823 350.019 66.4089
1 10046 28618588 -425.095 -147.022 194.317 52.9243
1 10172 28979204 583.452 279.682 -536.389 -216.654
1 5837 16628378 -808.168 -191.885 748.46 159.305
