run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 60 11944 0.255097 0.364327 0.402654 0.434963
1 81 16092 0.220259 0.152742 0.440274 0.409878
1 151 30083 0.254823 0.214913 0.361051 0.133633
1 192 38203 0.205469 0.434402 0.442395 0.405282
1 25 4803 0.27511 0.291508 0.328143 0.323773
1 26 5147 0.246566 0.441746 0.442701 0.111453
1 42 8287 0.403132 0.197342 0.345524 0.0905261
1 46 9185 0.174899 0.224324 0.130919 0.111107
1 121 24121 0.45722 0.434013 0.278484 0.413637
1 148 29405 0.22732 0.0957501 0.37136 0.112374
1 143 28485 0.424676 0.419918 -10 0.280895
1 195 38842 0.424873 0.45803 0.424867 0.430563
1 195 38933 -10 -10 -10 0.436386
1 61 12008 0.440767 0.447798 0.0639276 0.391604
1 146 29056 0.201147 0.241192 0.0884837 0.125005
1 157 31339 0.23574 0.458846 0.337656 -10
1 164 32765 0.442725 -10 -10 0.324482
1 231 46021 0.456077 0.364924 0.105011 0.413154
1 63 12502 0.374738 0.421518 0.332917 0.380939
1 94 18604 0.412637 -10 0.232053 0.241071
1 197 39237 0.341601 0.347749 0.436339 0.150191
1 72 14232 0.324727 0.412724 0.186615 0.150754
1 79 15733 0.111659 0.284958 0.204275 0.133995
1 83 16417 0.132054 0.323567 0.34751 0.189955
1 85 16839 0.456048 0.277605 0.345581 0.129967
1 97 19235 -10 0.298798 0.147732 0.305705
1 242 48255 0.0624085 0.435746 0.217591 0.210314
