run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 154 30655 0.366472 0.174932 -10 -10
1 229 45624 0.368828 0.440395 0.311417 0.24878
1 38 7505 0.417979 0.23989 0.408757 0.119249
1 18 3585 0.423597 0.315362 0.369546 0.0978006
1 210 41939 0.200031 0.0818125 0.152992 0.379429
1 242 48366 0.160553 0.253958 0.453961 0.306758
1 9 1729 0.411633 0.110374 0.40976 0.173787
1 182 36333 0.142197 0.271601 0.317523 0.0734016
1 145 28867 0.382354 0.145177 0.179745 0.252239
1 227 45374 0.174645 0.134561 -10 0.118978
1 235 46912 0.442326 0.381938 0.286763 0.106939
1 245 48892 0.31883 0.0998646 0.410077 0.413368
