run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 1 189 773.853 611.402 -992.66 -232.734
1 139 27692 456.649 346.713 -420.969 -193.446
1 200 39849 -1135.87 -275.633 1141.84 148.859
1 200 39961 828.124 607.507 -1245.97 -382.298
1 182 36222 -890.104 -581.373 684.674 687.889
1 187 37277 -826.956 -733.775 637.052 513.279
1 34 6764 -912.839 -633.254 1306.52 185.366
1 76 15113 -787.823 -162.488 462.174 395.159
1 118 23523 -1206.25 -762.032 1305.05 555.45
1 140 27867 1369.74 637.157 -1228.59 -650.605
1 193 38459 -1777.68 -369.192 1061.4 403.239
1 121 24180 -1706.35 -306.232 1063.6 644.527
1 167 33289 -783.553 -600.02 820.208 529.543
1 167 33319 346.554 35.0397 409.445 199.212
1 167 33339 -491.903 -507.087 544.626 530.787
1 167 33343 1058.82 757.042 -922.924 -815.945
1 202 40238 -884.474 -161.685 535.684 440.569
1 232 46244 1259.14 879.009 -1199.21 -831.187
1 94 18680 699.261 290.46 -547.763 -484.201
1 112 22347 723.485 650.026 -842.785 -532.994
1 22 4217 813.181 623.176 -789.681 -560.293
1 22 4336 1469.03 733.065 -1128.46 -609.797
1 120 23999 1185.43 884.907 -1341.31 -721.935
1 164 32627 1646.67 393.502 -981.487 -926.71
1 153 30495 -33.5004 -88.5226 78.8181 82.208
1 174 34721 1763.35 381.089 -1337.93 -660.656
1 195 38944 1247.75 792.512 -1019.51 -620.534
1 237 47361 -1317.46 -886.579 1351.96 596.215
1 212 42232 437.014 403.836 -436.028 -378.751
1 212 42364 -261.568 -131.977 3.70412 49.9963
1 145 28957 1413.99 831.965 -1513.63 -558.364
1 20 3823 245.366 249.104 -494.282 -196.605
1 75 14801 465.133 304.532 -158.136 -238.698
1 75 14983 -509.539 -145.623 -26.9699 78.6302
1 38 7492 899.136 405.531 -644.45 -643.786
1 108 21416 -1612.7 -522.976 1265.7 694.12
1 93 18518 -1327.55 -649.204 956.026 948.289
1 93 18527 -851.601 -170.644 504.958 365.93
1 93 18577 -261.801 -227.44 6.41919 -19.406
1 132 26204 572.088 480.993 -446.351 -45.8913
1 51 10041 -754.553 -371.509 805.471 243.824
1 62 12272 -1339.86 -856.033 1915.06 269.796
1 62 12383 463.982 239.527 -513.239 -243.188
1 66 13157 899.056 591.402 -1248.02 -342.794
1 138 27551 1738.9 250.169 -1101.66 -896.29
1 223 44544 -901.851 -780.749 871.021 757.704
1 223 44563 738.023 260.226 -509.317 -467.025
1 141 28086 1026.73 812.356 -894.319 -696.155
1 143 28494 -762.209 -190.291 698.638 126.794
1 224 44641 -454.993 -42.9099 281.664 250.137
1 21 4034 -682.925 -163.361 571.34 122.643
1 21 4128 -1042.03 -602.238 960.226 797.87
1 71 14074 960.479 669.717 -923.318 -710.431
1 71 14161 1527.04 411.634 -1655.78 -237.924
1 159 31630 -1474.69 -523.093 1510.26 503.605
1 159 31708 -1307.11 -528.512 1140.69 617.78
1 79 15658 1170.62 228.795 -838.246 -580.829
1 105 20974 -673.388 -737.849 672.734 470.33
1 98 19431 -1012.89 -825.953 934.921 873.275
1 98 19516 -1673.76 -239.901 1276.78 167.035
1 150 29963 1327.51 389.167 -1281.78 -510.297
1 163 32515 44.5457 -6.20386 -62.2373 32.5347
1 163 32572 -1151.27 -998.917 1289.04 586.983
1 239 47653 1162.67 686.622 -1373.81 -248.279
1 239 47788 -808.879 -720.673 1189.02 301.464
1 91 18188 517.252 139.928 -199.808 -62.8913
1 128 25480 -1458.32 -292.9 992.02 608.333
1 10 1916 518.725 214.039 -342.326 -106.673
1 10 1986 -483.279 -306.975 380.607 194.473
1 169 33605 1213.5 1124.01 -1746.43 -346.194
1 169 33717 439.795 467.392 -609.639 -264.242
1 60 11912 -979.715 -736.88 959.188 656.673
1 74 14708 497.878 248.722 -332.547 -236.561
1 240 47860 1075.4 661.289 -816.715 -621.784
1 189 37700 -866.002 -240.447 556.568 614.317
1 197 39213 -1301.34 -315.17 1207.58 460.635
1 7 1337 1076.72 890.044 -1122.98 -891.629
1 45 8945 1157.33 199.569 -666.466 -545.75
1 47 9304 693.287 164.793 -443.591 -237.889
1 173 34461 -1111.47 -470.197 982.082 169.03
1 204 40653 -321.736 -295.452 164.158 190.698
1 147 29298 -1013.69 -790.64 1520.33 224.077
1 248 49594 -1057.13 -167.615 728.095 427.699
1 222 44329 -1019.22 -382.785 927.954 252.758
1 245 48892 502.004 338.215 -449.81 -298.08
1 250 49929 529.446 533.383 -664.608 -526.242
1 26 5174 1306.34 714.512 -1415.16 -479.709
1 162 32305 943.973 798.907 -941.983 -805.912
1 106 21174 -1008.92 -941.244 1577.41 274.088
1 203 40461 -953.638 -681.407 1125.06 212.044
1 215 42839 1350.56 747.978 -1717.45 -366.169
1 215 42866 177.645 90.4028 -21.1591 -126.955
1 215 42916 -790.103 -709.132 -146.208 30.5288
1 131 26051 791.747 724.534 -658.293 -670.197
1 154 30686 1864.03 364.304 -1325.41 -597.357
1 225 44853 306.617 290.064 -287.783 -103.295
1 213 42492 737.434 352.306 -845.749 -82.5746
1 59 11726 1065.4 693.856 -912.522 -821.333
1 115 22884 -15.8656 54.1138 -196.513 10.0209
1 115 22926 136.325 166.488 -228.297 -92.1497
1 115 22951 -299.815 -42.8915 330.547 98.0777
1 115 22985 -886.285 -315.345 718.407 569.537
1 99 19669 -1464.68 -747.802 868.292 903.653
1 137 27318 503.757 430.426 -446.523 -248.573
