run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 48 9405 156.833 76.7083 -125.027 -9.24973
1 129 25715 -657.879 -178.917 536.926 294.045
1 14 2676 -276.129 -68.9224 202.577 27.3989
1 94 18760 491.7 286.637 -524.023 -303.573
1 82 16343 -87.4705 -172.431 170.139 258.107
1 161 32009 613.166 115.867 -529.12 -204.369
1 180 35965 -363.847 -226.465 297.173 86.1007
1 78 15465 439.826 419.267 -305.74 -171.625
1 83 16421 788.141 148.184 -332.02 -58.3792
1 133 26434 -263.696 -181.661 371.446 50.4072
1 165 32906 -401.727 -101.424 457.321 89.431
1 189 37612 716.306 279.212 -419.217 -291.197
