run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 17 3315 0.420293 0.202134 0.416284 0.179318
1 24 4630 0.127543 0.437554 0.254543 0.453218
1 83 16457 0.41389 0.28135 0.353114 0.29558
1 83 16506 0.109929 0.166487 0.409851 0.175672
1 181 36018 0.344577 0.426162 0.310812 0.425156
1 169 33623 -10 -10 0.377081 -10
1 203 40591 0.358336 0.116823 0.225941 0.184599
1 227 45266 0.315215 0.0585968 0.433944 -10
1 65 12831 0.274476 0.32913 0.43897 0.252308
1 79 15756 0.266062 0.150109 0.136525 0.083432
1 54 10721 0.33939 0.201684 0.0984077 0.18695
1 90 17867 0.411008 0.442822 0.455671 0.1056
1 225 44887 0.371131 -10 0.17692 0.195548
1 33 6495 -10 0.168087 0.36449 0.100551
1 6 1048 -10 0.301185 0.305131 0.408457
1 18 3571 0.422637 0.198504 0.172878 0.438797
1 8 1552 0.299458 0.405102 0.344129 0.112467
1 69 13626 0.404861 0.227874 0.293499 0.284692
1 34 6799 0.382286 0.363475 0.27826 0.262022
1 70 13975 0.124784 0.373456 0.259919 0.381128
1 44 8629 0.123632 0.415982 0.301804 0.270124
1 44 8696 0.378309 0.0693465 0.440366 0.103106
1 43 8587 0.448653 0.449234 0.280637 0.306979
1 87 17217 0.147256 0.188247 0.352509 0.265545
1 93 18599 0.277465 -10 0.262173 0.450603
1 118 23428 0.338429 0.0607027 0.410805 0.397199
1 204 40657 0.152085 0.122863 0.40597 0.403916
1 208 41555 0.240167 0.326046 0.231621 0.3912
1 41 8100 0.430774 0.454585 0.361339 0.197561
1 59 11644 0.417811 0.407368 0.133429 0.303377
1 38 7572 0.436154 0.0604689 0.349 0.168418
1 109 21709 0.308341 0.167735 0.454968 -10
1 119 23721 0.222723 0.368516 0.195146 0.107267
1 214 42739 0.375378 0.142208 0.410775 -10
1 214 42746 0.200457 0.424099 0.265087 0.369999
1 80 15854 0.216572 0.073004 0.151923 0.134462
1 191 38137 0.431599 -10 0.387944 0.285375
1 233 46589 0.26489 0.168988 0.413167 0.442178
1 236 47167 0.282516 0.339503 0.366101 0.459502
