run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 1693 5668138 -317.595 -97.9583 240.573 193.887
1 8366 28011392 -286.062 -84.3569 317.537 51.4809
1 15636 52351076 -240.553 -40.3669 168.919 91.6563
1 14100 47207779 192.631 76.6849 -128.324 -141.384
1 38386 128519815 -341.727 -94.6769 334.38 58.9789
1 36918 123605957 315.656 247.106 -313.805 -102.24
1 43572 145884250 -185.664 -43.41 171.697 62.1285
1 45494 152320192 54.7972 105.778 -171.541 12.103
1 45900 153678798 -87.4312 28.4823 60.6485 15.6149
1 45894 153657815 -278.911 -163.963 289.642 19.2977
1 47821 160109769 -544.109 -104.266 544.759 82.627
1 50117 167799613 421.657 103.119 -379.617 -118.931
1 51631 172868689 548.458 107.702 -571.945 -75.673
1 29062 97302333 -433.273 -197.416 340.571 209.307
1 14003 46883531 -240.377 -60.6267 167.313 92.5788
1 21100 70645344 -252.255 -202.618 363.294 36.3614
1 23388 78306067 483.495 86.2314 -473.736 -58.7616
1 29909 100138701 553.719 84.201 -330.074 -278.748
1 28416 95139675 -150.842 -131.232 129.932 35.8006
1 29916 100161251 301.644 203.034 -343.805 -181.566
1 3420 11450975 -281.726 -77.1173 311.529 80.1473
1 13081 43796762 -206.603 -35.7501 226.249 19.7603
1 26110 87419489 63.8904 18.8032 -45.6489 -79.3095
1 25619 85775287 281.84 72.2831 -204.385 -72.0295
1 25619 85776680 212.09 98.11 -98.3315 -113.744
1 26453 88568077 -240.298 -74.4968 248.813 42.7066
1 39389 131880407 -615.858 -127.534 559.539 181.948
1 39389 131880738 273.4 148.401 -234.621 -162.703
1 40253 134770158 -53.9774 -22.4838 -41.5314 54.3634
1 36630 122642254 -124.288 -107.497 220.516 19.4011
1 1874 6272353 458.02 26.2387 -320.883 -110.816
1 7346 24595586 -240.863 -50.9122 223.395 61.6602
1 12561 42053973 517.162 87.2311 -377.399 -210.829
1 37201 124555050 -89.4444 -129.725 163.486 44.6667
1 22877 76596050 -74.9722 5.19242 50.6622 17.3079
1 19289 64581520 -368.671 -176.013 441.995 53.1897
1 33812 113207041 277.424 180.852 -391.999 -66.6989
1 46279 154949080 -376.636 -36.5555 330.54 24.1383
1 46279 154949322 325.398 67.1633 -225.197 -174.503
1 42482 142234518 -35.9459 42.1548 73.3678 -31.6428
1 51565 172645728 515.87 57.3656 -313.886 -167.492
1 53312 178494262 217.659 101.159 -229.93 -10.367
1 53312 178495190 -288.36 -47.2951 267.152 85.5872
1 2339 7832077 -241.577 -5.98337 212.305 -14.6807
1 2339 7832237 503.363 70.7868 -436.727 -133.393
1 3702 12394778 452.768 60.2191 -190.806 -61.3521
