run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 1 101 386.169 331.596 -691.642 -121.063
1 205 40982 -336.433 -111.261 318.09 272.494
1 206 41126 75.2617 61.5983 48.5613 -64.4023
1 208 41502 -687.972 -145.057 328.332 323.79
1 2 282 -502.606 -95.9993 490.702 87.1774
1 10 1893 -1289.99 -573.311 1009.24 742.298
1 22 4341 1201.58 365.007 -905.908 -637.328
1 27 5379 1111.19 497.901 -1202.96 -449.631
1 34 6773 670.765 311.867 -613.775 -293.05
1 35 6926 -231.24 -46.0117 584.371 182.882
1 39 7765 256.845 167.368 -175.082 -270.864
1 48 9525 -1660.86 -392.131 1072.25 754.017
1 58 11436 1235.53 440.108 -908.234 -471.452
1 58 11474 -1170.43 -268.733 931.908 455.03
1 71 14098 1476.88 403.427 -1673.52 -220.531
1 71 14137 -778.863 -497.33 684.174 386.082
1 71 14151 -88.3673 -44.8268 -230.273 -287.537
1 63 12442 1142.66 282.365 -683.698 -508.867
1 69 13749 11.3705 -48.8884 -16.5534 11.0639
1 69 13786 725.964 550.163 -922.151 -310.436
1 101 20120 993.247 859.672 -1227.83 -490.834
1 85 16884 -840.867 -514.763 794.638 246
1 92 18274 1009.87 278.563 -873.378 -531.434
1 93 18462 -144.621 -176.306 231.662 122.104
1 102 20294 557.258 282.48 -745.558 -64.7638
1 102 20397 777.106 579.812 -890.341 -532.662
1 179 35755 1118.75 680.342 -923.707 -791.483
1 114 22644 -35.2379 54.1492 149.891 8.16592
1 3 534 859.966 566.805 -804.249 -530.817
1 199 39637 -1362.67 -158.639 859.635 558.753
1 7 1282 987.398 838.217 -1113.11 -575.164
1 54 10724 -295.385 -269.43 326.538 273.299
1 54 10751 -1475.48 -472.761 1437.61 306.544
1 76 15062 -1282.52 -324.584 814.653 744.962
1 78 15454 -89.2599 24.8625 4.73836 -47.8566
1 89 17672 -1172 -363.463 935.145 504.625
1 88 17538 710.752 119.682 -384.68 -223.848
1 99 19768 301.678 155.228 52.0963 -26.8937
1 126 25075 1233.29 664.163 -1216.24 -481.553
1 130 25994 -883.884 -263.365 504.277 533.48
1 135 26939 -1159.56 -835.039 1258.93 427.174
1 155 30963 1009.29 552.927 -1099.3 -585.874
1 159 31620 -1282.35 -242.717 638.877 500.116
1 226 45067 1389.65 568.607 -1300.48 -338.313
1 178 35594 -93.2112 32.0817 233.594 89.7159
1 181 36029 -896.021 -200.164 760.197 312.643
1 17 3343 734.474 598.072 -796.574 -415.269
1 61 12052 26.073 -65.7487 46.4366 -6.23013
1 140 27996 -574.485 -292.677 366.073 292.926
1 165 33000 -1004.13 -460.737 618.443 688.084
1 154 30743 559.753 449.218 -497.231 -394.948
1 177 35234 -1245.4 -662.735 1165.35 711.604
1 184 36618 -1259.84 -492.354 1092.07 636.882
1 235 46916 689.629 194.777 -702.965 -163.294
1 235 46989 -1347.4 -487.456 1171.95 576.439
1 236 47093 324.749 112.609 -295.152 -149.294
1 223 44588 311.431 289.595 -317.289 -206.503
1 49 9780 399.331 50.6502 -307.86 -231.557
1 28 5408 -1235.17 -494.782 969.433 572.744
1 37 7205 -1031.46 -828.769 1357.55 356.554
1 60 11914 -1350.3 -455.467 1030.13 770.602
1 62 12218 317.398 101.887 -475.165 -130.562
1 62 12368 143.96 211.01 -545.896 -84.6163
1 64 12698 -1055.32 -410.255 1136.05 205.885
1 191 38010 945.01 871.071 -1242.04 -443.645
1 214 42707 1022.79 863.224 -1452.98 -340.439
1 120 23898 1267.44 345.572 -1108.81 -357.112
1 136 27067 799.055 686.199 -970.088 -331.971
1 137 27219 -837.882 -235.421 616.853 361.681
1 150 29927 -919.04 -280.163 629.448 409.204
1 190 37835 -743.909 -475.006 557.768 439.933
1 196 39068 1228.6 610.151 -1106.8 -525.755
1 198 39512 -1053.31 -239.666 874.758 265.66
1 227 45352 50.7309 114.218 51.9167 -26.8818
1 211 42034 946.464 234.157 -692.688 -561.386
1 213 42491 209.52 139.448 -165.324 -154.912
1 222 44202 349.827 241.109 -253.09 -129.646
1 222 44260 1040.66 484.244 -1022.48 -147.147
1 229 45737 -914.231 -332.891 965.887 233.674
1 230 45883 1026.75 514.02 -1010.83 -122.235
1 232 46328 -264.8 -321.962 183.144 134.28
1 239 47695 667.176 571.947 -651.341 -539.632
1 243 48494 101.5 0.08838 -11.1956 -110.842
1 246 49097 -1126.23 -600.041 913.35 476.117
