run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 98 19446 972.579 293.879 -912.584 -186.097
1 45 8965 -81.6818 25.5595 402.465 239.467
1 212 42207 -383.476 -213.051 293.667 191.444
1 26 5092 180.036 110.62 -179.721 -161.473
1 37 7244 -698.427 -627.43 352.002 424.978
1 50 9897 935.642 697.308 -753.761 -539.456
1 53 10510 1117.43 568.291 -652.624 -311.625
1 107 21257 650.079 278.765 -781.386 -451.698
1 100 19969 446.77 327.698 -571.49 -279.185
1 116 23024 -758.05 -665.558 765 688.124
1 101 20171 -1171.9 -290.497 1000.4 179.142
1 97 19240 457.57 305.14 -369.28 -255.036
1 97 19242 -178.431 -231.116 325.172 154.695
1 124 24634 -883.759 -321.051 680.211 362.609
