run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 5 903 0.456244 0.394758 0.371868 0.398773
1 6 1111 0.127576 0.459179 0.176149 0.413963
1 110 21953 0.107744 0.396252 0.0806345 0.293426
1 110 21959 0.410975 0.15502 0.451783 0.178077
1 21 4021 0.315938 0.239346 0.144943 0.291765
1 32 6267 0.39373 0.131607 0.109474 0.267049
1 82 16219 0.270966 0.18865 0.140734 0.375862
1 87 17222 0.419746 0.322023 0.0504213 0.388688
1 194 38755 -10 0.252244 0.11343 0.446293
1 196 39042 0.40932 0.146935 0.312623 0.088787
1 210 41876 0.114365 0.345741 0.135856 0.261355
1 226 45178 0.199249 0.108767 0.412085 0.122431
1 234 46656 0.430456 0.179161 0.36554 0.0950631
1 51 10119 0.27913 -10 0.444195 0.0856733
