run lumi event CSV_j0_sj0 CSV_j0_sj1 CSV_j1_sj0 CSV_j1_sj1
1 6809 20024909 0.0581082 0.0721793 0.0946766 0.272374
1 8027 23608439 0.393206 0.128221 0.0427513 0.314282
1 10427 30665808 0.270775 0.0864359 0.36065 0.307251
1 10427 30667737 0.290618 0.101763 0.1481 0.182498
1 12144 35717684 0.423239 0.0904762 0.113324 0.124897
1 11165 32838082 0.187398 0.157303 0.245373 0.197909
1 12162 35770134 0.184187 0.151576 0.060023 0.149612
1 13711 40324005 0.0833036 0.224101 0.402235 -10
1 14165 41661168 0.0974845 0.0553975 0.14162 0.128143
1 15078 44347563 0.386678 0.115236 0.201133 0.0979515
1 15084 44364062 0.0744009 0.11533 0.142467 0.118523
1 15785 46426162 0.172296 0.360097 0.302273 0.0796592
1 427 1255627 0.356425 0.160405 0.316559 0.11822
1 990 2909816 0.336882 0.24538 0.240036 0.225762
1 1277 3754084 0.231862 0.12324 0.247202 0.19662
1 1277 3756335 0.129369 0.207287 0.302717 0.0826807
1 13609 40024918 0.158474 0.0708497 0.444089 0.387137
1 14809 43555346 0.424773 0.102691 0.253418 0.18158
1 16283 47890689 0.279763 0.0817649 0.093968 0.0617078
1 12774 37569022 0.331273 0.101656 0.274096 0.163302
1 13802 40594396 0.122734 0.0536846 0.287982 0.0707078
1 16055 47219389 0.13922 0.11219 0.071319 0.146846
1 17244 50717346 0.106943 0.0585049 0.14142 0.323605
1 17868 52552506 0.0759673 0.0629091 0.19696 0.114565
1 18194 53509351 0.32596 0.141375 0.108129 0.126985
1 975 2868571 0.0542151 0.177306 0.189404 0.193635
1 981 2884863 0.320201 0.117247 0.146246 0.139869
1 985 2897697 0.109597 0.127586 0.159387 0.176634
1 1957 5756360 0.134883 0.136266 0.409109 0.23216
1 1950 5734249 0.268634 0.0834716 0.17402 0.249989
1 1950 5734788 0.117801 0.4451 0.11502 0.180635
1 1953 5744072 0.0892999 0.129286 0.298731 0.13679
1 7531 22148241 0.052386 0.0797726 0.379491 0.453552
1 9029 26555759 0.128279 0.101395 0.0663582 0.139752
1 14450 42499745 0.0617218 0.185282 0.131123 0.108244
1 9209 27085214 0.0750577 0.24075 0.315108 0.112712
1 9602 28239020 0.33708 0.0867409 0.107565 0.243645
1 9602 28240920 0.129934 0.175714 0.0976388 0.100689
1 12526 36840267 0.242118 -10 0.231058 0.0637736
1 12899 37936457 0.159651 0.0501723 0.11567 0.213145
1 15922 46829345 0.209592 0.0766974 0.449989 0.0793523
1 1079 3173631 0.129252 0.0918209 0.220921 0.36379
1 1079 3173723 0.0678263 0.0676194 0.288218 0.123817
1 1575 4629989 0.0844176 0.344983 0.098474 0.0609353
1 6416 18871292 0.089598 0.0577646 0.341956 0.332306
1 16589 48791329 0.219991 0.152709 0.191667 0.100654
1 14830 43616735 0.275198 0.218474 0.154762 0.172602
1 5897 17341810 0.301224 0.457259 0.194354 0.0923709
1 8194 24099350 0.0860721 0.18262 0.33254 0.124622
1 7425 21836086 0.320353 0.0929148 0.107303 0.150581
1 3678 10817120 0.262173 0.0720973 0.167546 0.207227
1 8160 23999982 0.239143 0.0897352 0.0549773 0.117198
1 9351 27502066 0.40434 0.15247 0.235647 0.0981691
1 9517 27989783 0.407571 0.0965641 0.223958 0.0848436
1 14886 43782665 0.359076 0.0675671 0.332607 0.340218
1 15024 44189093 0.160688 0.13028 0.0492156 0.0732507
1 1813 5331234 0.115425 0.23602 0.0543813 0.107173
1 13928 40965036 0.23466 -10 0.146185 0.157268
1 8533 25096035 0.0916457 0.245037 0.102985 0.407683
1 18758 55169332 0.1378 0.149289 0.153892 0.0737674
1 11308 33259086 0.0514337 0.301792 0.156705 0.0950559
1 13049 38377954 0.419969 0.0573421 0.163455 0.23158
1 13163 38712496 0.207059 0.32978 0.143901 0.0570634
1 13163 38713117 0.306243 0.165918 0.0818411 0.105582
1 13546 39840934 0.0620464 0.0743632 0.0886837 0.0906899
1 18335 53925512 0.0677207 0.229221 0.245286 0.0930239
1 18335 53926493 0.0834805 0.0799766 0.0995804 0.185475
1 15312 45032941 0.076529 0.179022 0.242067 0.187764
1 2621 7706114 0.179183 0.0703015 0.290609 0.256258
1 3336 9809892 0.173032 0.0980703 0.0771626 0.0572716
1 8845 26014186 0.174316 0.0899135 0.264082 0.104606
1 9164 26951697 0.0975526 0.0918723 0.136974 0.195605
1 5471 16091178 0.268117 0.217912 0.370707 0.104616
1 7222 21240877 0.166324 0.143552 0.183157 0.0975628
1 8427 24786259 0.146863 0.122577 0.363347 0.347642
1 12902 37945214 0.256222 0.0816555 0.0354954 0.15232
1 12902 37946643 0.188903 0.0865546 0.173963 0.359411
1 12902 37947431 0.076472 0.186493 0.271141 0.0992606
1 13298 39110219 0.356629 0.446013 0.3013 0.317975
1 14367 42254903 0.196184 0.282591 0.249096 0.316244
1 1786 5251721 0.308394 0.155178 0.157439 0.186202
1 4294 12629321 0.145619 0.209464 0.181734 0.098186
1 3978 11699349 0.109686 0.233325 0.258068 0.235658
1 4337 12756234 0.0923768 0.179538 0.103504 0.172134
1 4348 12787662 0.11209 0.179769 0.432454 0.0658956
1 4353 12802167 0.0770687 0.061303 0.189147 0.057627
1 11703 34419370 0.387005 0.0964955 0.114462 0.109418
