treeMaker->Scan("eventId:AK8PuppijetP4[0].Pt():AK8PuppijetP4[0].Eta():AK8PuppijetP4[0].Phi():AK8PuppijetP4[0].M():AK8PuppijetP4[1].Pt():AK8PuppijetP4[1].Eta():AK8PuppijetP4[1].Phi():AK8PuppijetP4[1].M():AK8PuppijetSDmass[0]:AK8PuppijetSDmass[1]","eventId<=100")
************************************************************************************************************************************************
*    Row   *   eventId * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij *
*       30 *        31 * 1038.2015 * -0.733886 * 0.3243831 * 148.36322 * 906.34539 * -0.545503 * -2.702091 * 122.41437 * 110.85824 * 59.971363 *
*       31 *        32 * 1166.1505 * -0.552246 * 1.8321300 * 142.56560 * 1015.7749 * -0.743879 * -1.347672 * 231.10619 * 122.95989 * 158.17343 *
*       32 *        33 * 930.42213 * 0.3590309 * -1.521392 * 123.65218 * 909.30961 * 0.7714036 * 1.4617028 * 128.58952 * 101.17706 * 113.84106 *
*       33 *        34 * 871.27915 * -0.207665 * -0.918608 * 119.97316 * 820.44462 * -1.217311 *  2.299933 * 196.16207 * 57.816654 * 120.44128 *
*       34 *        35 * 427.30076 * 1.6758776 * 2.8380087 * 102.75415 * 385.08906 * -1.286478 * -0.371234 * 128.65535 * 86.569015 * 109.15416 *
*       35 *        36 * 721.68559 * 0.0506522 * -2.567687 * 115.07194 * 697.80469 * -1.246806 * 0.4139323 * 110.31117 * 101.35655 * 89.092353 *
*       36 *        37 * 1013.6162 * -0.231038 * 2.4757695 * 122.91638 * 898.42331 * 0.6892777 * -0.805105 * 176.98418 * 2.5369548 * 5.4505643 *
*       37 *        38 * 875.94407 * -0.004105 * -0.541450 * 101.89807 * 822.49859 * -0.862369 * 2.9675122 * 114.22495 * 2.9427297 * 101.68279 *
*       38 *        39 * 1042.5446 * -0.717081 * 2.8399204 * 150.34359 * 944.83466 * -0.256370 * -0.198627 * 131.41515 * 114.80808 * 19.086204 *
*       39 *        40 * 959.15872 * 0.1891870 * -0.020983 * 134.80624 * 907.42140 * -0.114064 * 3.0176924 * 144.17283 * 3.1112551 * 11.555119 *
