111.372 0.100683 19.179 0.0711937
111.55 0.0977521 18.9299 0.0691212
111.589 0.0960748 18.6991 0.0679352
111.395 0.0932681 18.2694 0.0659505
111.08 0.0919391 18.0097 0.0650108
110.069 0.0906237 17.5424 0.0640806
109.101 0.0885053 17.3319 0.0625827
108.086 0.0902647 17.6402 0.0638268
108.062 0.0913231 17.7515 0.0645752
108.062 0.0913231 17.7515 0.0645752
108.062 0.0913231 17.7515 0.0645752
108.086 0.0902647 17.6402 0.0638268
109.101 0.0885053 17.3319 0.0625827
110.069 0.0906237 17.5424 0.0640806
111.08 0.0919391 18.0097 0.0650108
111.395 0.0932681 18.2694 0.0659505
111.589 0.0960748 18.6991 0.0679352
111.55 0.0977521 18.9299 0.0691212
111.372 0.100683 19.179 0.0711937
111.379 0.100669 19.174 0.0711841
111.552 0.0977533 18.9288 0.069122
111.595 0.0960783 18.6968 0.0679376
111.398 0.0932748 18.2688 0.0659553
111.081 0.0919429 18.0095 0.0650135
110.072 0.09062 17.5403 0.064078
109.104 0.0884972 17.3294 0.0625769
108.088 0.0902634 17.6393 0.0638259
108.061 0.0913065 17.7473 0.0645634
108.061 0.0913065 17.7473 0.0645634
108.088 0.0902634 17.6393 0.0638259
109.103 0.0884978 17.3291 0.0625774
110.072 0.0906246 17.5407 0.0640813
111.08 0.0919294 18.006 0.0650039
111.393 0.0932742 18.2684 0.0659548
111.595 0.0960847 18.698 0.0679422
111.553 0.0977518 18.9268 0.069121
111.382 0.10068 19.1728 0.0711912
